date,title,description,url
2025-08-07T09:39:00+00:00,I need $80K to buy my husband out of our home. Do I raid my $180K Roth IRA?,"“I have two young children, and I have a great mortgage rate.”",https://www.marketwatch.com/story/i-need-80k-to-buy-my-husband-out-of-our-home-do-i-raid-my-180k-roth-ira-73460355
2025-08-07T08:47:00+00:00,Buyers’ strike by international investors for U.S. equities is over: JPMorgan,"Afterdisengaging from U.S. stocks in the first four months of the year, foreign institutions returned to the market to join in the rally.  Foreign retail investors, though, remain sidelined.",https://www.marketwatch.com/story/buyers-strike-by-international-investors-for-u-s-equities-is-over-jpmorgan-d9bb5a5a
2025-08-07T08:45:00+00:00,Fed chief candidate gins up new conspiracy on data quality — this time on GDP,"Kevin Hassett, the director of the National Economic Council and one of the so-called “two Kevins” that may be the next chief of the Federal Reserve, has spun up a new conspiracy over data quality",https://www.marketwatch.com/story/fed-chief-candidate-gins-up-new-conspiracy-on-data-quality-this-time-on-gdp-b7a75b8d
2025-08-07T02:42:00+00:00,United Airlines sees massive delays after hundreds of U.S. flights grounded due to technical issue,"A technical issue forced the grounding of hundreds of United Airlines flights late Wednesday, snarling airports amid the busy summer travel season.",https://www.marketwatch.com/story/united-airlines-sees-massive-delays-after-hundreds-of-flights-grounded-due-to-technical-issue-5a49820a
2025-08-06T23:06:55+00:00,Jim Cramer on Wednesday's action: 'We have a market that’s all over the map',CNBC's Jim Cramer parsed Wednesday's market action.,https://www.cnbc.com/2025/08/06/cramer-on-wednesday-action-we-have-a-market-thats-all-over-the-map.html
2025-08-06T22:58:00+00:00,Why Nvidia and other chip stocks are shrugging off Trump’s latest tariff threat,Trump vowed to impose roughly 100% tariffs on semiconductors unless companies build in the U.S. Is it the latest installment of the “TACO” trade?,https://www.marketwatch.com/story/why-nvidia-and-other-chip-stocks-are-shrugging-off-trumps-latest-tariff-threat-11e104ba
2025-08-06T22:24:00+00:00,"Consumers are ordering more deliveries, says DoorDash. The stock is surging.","“Food is the most resilient category and most sought-after category for convenient consumptions,” said DoorDash CEO Tony Xu.",https://www.marketwatch.com/story/consumers-are-ordering-more-deliveries-says-doordash-the-stock-is-surging-08fa35fb
2025-08-06T21:55:16+00:00,"Firefly Aerospace prices shares at $45, above the expected range","Firefly will be the next space technology company to go public, following Voyager Technology and Karman Holdings this year.",https://www.cnbc.com/2025/08/06/firefly-aerospace-fly-stock-ipo.html
2025-08-06T21:44:00+00:00,These stock pickers just had their worst month of 2025 at trying to beat benchmarks,"After a “weak” July for active large-cap equity mutual funds, a majority are underperforming their benchmarks this year, according to BofA Global Research.",https://www.marketwatch.com/story/these-stock-pickers-just-had-their-worst-month-of-2025-at-trying-to-beat-benchmarks-78b0b931
2025-08-06T21:42:00+00:00,DraftKings’ profit doubles expectations as people are betting — and losing — more,"The sports-betting company’s stock jumped after a big profit beat, as users bet a lot more than they did last year — and also lost more.",https://www.marketwatch.com/story/draftkings-profit-doubles-expectations-as-people-are-betting-and-losing-more-1e367723
2025-08-06T21:27:00+00:00,Disney’s NFL deal finally gives fans a reason to buy ESPN’s new $29.99 streaming service: NFL RedZone,"“The Disney bundle now becomes incredibly attractive,” one industry expert says.",https://www.marketwatch.com/story/disneys-nfl-deal-finally-gives-fans-a-reason-to-buy-espns-new-29-99-streaming-service-nfl-redzone-3f6be033
2025-08-06T21:12:43+00:00,"Apple details $100 billion U.S. spending expansion, including $2.5 billion for an iPhone glass factory",Apple on Wednesday announced it will spend an additional $100 billion on U.S. companies and suppliers over the next four years.,https://www.cnbc.com/2025/08/06/apple-details-100-billion-us-spending-expansion.html
2025-08-06T21:04:00+00:00,"Costco’s monthly sales accelerate, as consumers and the broader economy throw mixed signals","Costco on Wednesday reported $20.89 billion in sales through the “retail month” of July, or the four weeks that ended on Aug. 3. That marked an 8.5% year-over-year gain.",https://www.marketwatch.com/story/costcos-monthly-sales-accelerate-as-consumers-and-the-broader-economy-throw-mixed-signals-14a10bdd
2025-08-06T20:36:00+00:00,Lyft shares struggle to keep up with Uber following mixed quarterly results,"Ride-hailing platform Lyft Inc. on Wednesday forecast key demand metrics that were better than Wall Street expected, but sales and rides for the second quarter came in below estimates.",https://www.marketwatch.com/story/lyft-shares-struggle-to-keep-up-with-uber-following-mixed-quarterly-results-7e541a7d
2025-08-06T20:27:00+00:00,Airbnb is wading deeper into politics. It could weigh on profits.,Vacation platform Airbnb Inc. is making a bigger push into services and events while facing steeper competition from hotels.,https://www.marketwatch.com/story/airbnb-is-wading-deeper-into-politics-it-could-weigh-on-profits-01e68489
2025-08-06T19:22:42+00:00,Trump faces a variety of choices as he seeks to fill Fed vacancies,Fed Governor Adriana Kugler's surprise resignation last week brought back a scenario that seemed to be fading.,https://www.cnbc.com/2025/08/06/trump-faces-a-variety-of-choices-as-he-seeks-to-fill-fed-vacancies.html
2025-08-06T18:46:00+00:00,Upstart’s stock takes a mysterious dive after earnings. What’s behind the move.,"Analysts noted high expectations for the AI lender, as well as a sharp increase in the amount of loans held on the company’s balance sheet.",https://www.marketwatch.com/story/upstarts-stock-takes-a-mysterious-dive-after-earnings-whats-behind-the-move-c033d54e
2025-08-06T18:44:55+00:00,"These 2 stocks are still on our shopping list, and what Eli Lilly needs to deliver on earnings","Every weekday, the Investing Club releases the Homestretch; an actionable afternoon update just in time for the last hour of trading.",https://www.cnbc.com/2025/08/06/these-2-stocks-are-still-on-our-shopping-list-and-what-eli-lilly-needs-to-deliver-on-earnings.html
2025-08-06T18:19:00+00:00,Moderna’s stock takes a hit as RFK Jr. backs out of some mRNA vaccine deals,"Moderna Inc. shares are selling off Wednesday, after the Trump administration took aim at the science behind the biotechnology company’s vaccines and said it would cancel some contracts and stop funding mRNA drug development.",https://www.marketwatch.com/story/modernas-stock-takes-a-hit-as-rfk-jr-backs-out-of-some-mrna-vaccine-deals-667cdb8d
2025-08-06T17:44:00+00:00,"Social Security Old-Age and Survivors trust fund could run out of money sooner than expected, senator warns","The new Republican tax law will speed up Social Security’s insolvency, the agency’s chief actuary said.",https://www.marketwatch.com/story/social-security-old-age-and-survivors-trust-fund-could-run-out-of-money-sooner-than-expected-senator-warns-213b2538
2025-08-06T17:33:00+00:00,The next big real-estate boom: Homes for people living alone,Home developers are overbuilding the large and underbuilding the small.,https://www.marketwatch.com/story/the-next-big-real-estate-boom-homes-for-people-living-alone-842dcb6d
2025-08-06T17:07:00+00:00,"Trump’s new tariffs start tomorrow. Here’s who’s getting hit, and by how much.",“Reciprocal” levies are due to kick in Aug. 7 — with some exceptions.,https://www.marketwatch.com/story/trumps-new-tariffs-start-tomorrow-heres-whos-getting-hit-and-by-how-much-3adc3dc4
2025-08-06T16:56:16+00:00,"5 soldiers shot at Fort Stewart military base in Georgia, Army says","Five soldiers were shot after an active shooter opened fire at Fort Stewart military base in east Georgia, the Army said.",https://www.cnbc.com/2025/08/06/fort-stewart-shooting-army-georgia.html
2025-08-06T16:27:00+00:00,A record $100 billion auction of 4-week Treasury bills is coming Thursday. These are the risks.,The government is about to take an unprecedented step toward meeting its financing needs on Thursday by using a single auction to sell a record $100 billion of Treasury bills that mature in four weeks.,https://www.marketwatch.com/story/a-record-100-billion-auction-of-four-week-treasury-bills-is-coming-thursday-these-are-the-risks-6de8453a
2025-08-06T16:23:54+00:00,Apple surges on a new $100 billion U.S. investment. What Cramer thinks about stock,"""I don't want to sell Apple,"" Jim Cramer said Wednesday.",https://www.cnbc.com/2025/08/06/apple-surges-on-a-new-100-billion-us-investment-what-cramer-thinks-about-stock.html
2025-08-06T16:14:51+00:00,How will Trump's 50% tariffs on India impact its economy?,"A 50% tariff rate will be the highest levy among any U.S. trading partner, with some sectors of Indian economy more exposed than others.",https://www.cnbc.com/2025/08/06/how-will-trumps-50percent-tariffs-on-india-impact-its-economy.html
2025-08-06T15:59:54+00:00,We're trimming this red-hot tech stock and pocketing a 238% gain — here's why,This sale doesn't reflect any change in our positive view on the stock.,https://www.cnbc.com/2025/08/06/were-trimming-this-red-hot-stock-and-pocketing-a-238percent-gain-heres-why.html
2025-08-06T15:34:42+00:00,"Cramer's advice on Disney stock after earnings, and Amazon makes a smart AI move","The Investing Club holds its ""Morning Meeting"" every weekday at 10:20 a.m. ET.",https://www.cnbc.com/2025/08/06/jim-cramers-on-disney-after-earnings-and-amazons-wise-openai-deal.html
2025-08-06T15:28:00+00:00,Apple’s stock gains as new announcement with Trump could help its tariff problem,"While Apple is unlikely to start making iPhones in the U.S., investors seem to think that increased manufacturing commitments more generally could help secure better tariff treatment.",https://www.marketwatch.com/story/apples-stock-gains-as-new-announcement-with-trump-could-help-its-tariff-problem-a7d295d0
2025-08-06T15:21:00+00:00,Trump doubles tariffs on India to 50%. Why the big issue is Vladimir Putin and Russian oil.,"India ranks as the No. 2 importer of Russian oil since Russia’s invasion of Ukraine in February 2022, behind China, according to one research center.",https://www.marketwatch.com/story/trump-doubles-tariffs-on-india-to-50-why-the-big-issue-is-vladimir-putin-and-russian-oil-4028e441
2025-08-06T15:08:00+00:00,Opendoor’s stock is tanking after earnings. Bulls are pushing for this long-shot fix to the company’s woes.,"Marcus Lemonis, TV personality and executive chair of Beyond Inc., thinks that a partnership with certain retailers could be a winner for Opendoor",https://www.marketwatch.com/story/opendoors-stock-is-tanking-after-earnings-bulls-are-pushing-for-this-long-shot-fix-to-the-companys-woes-aa0e1d64
2025-08-06T15:08:00+00:00,"From jobs to safety, biggest railroad union fears 'meltdowns' from Union Pacific-Norfolk Southern merger",The leader of the largest railroad labor union says the creation of a new transcontinental freight rail network will create big risks for jobs and safety.,https://www.cnbc.com/2025/08/06/largest-labor-group-union-pacific-norfolk-southern-merger-job-losses.html
2025-08-06T14:22:00+00:00,Kashkari joins other Fed officials in leaning toward September rate cut,There are growing worries at the central bank about an economic slowdown.,https://www.marketwatch.com/story/kashkari-joins-with-other-fed-officials-in-leaning-towards-september-rate-cut-dc8788d1
2025-08-06T13:54:00+00:00,Here’s the other reason Scott Bessent wants lower interest rates,"If international investors can afford to hedge their dollar exposure, they are more likely to buy U.S. bonds, one fund manager said.",https://www.marketwatch.com/story/heres-the-other-reason-scott-bessent-wants-lower-interest-rates-22685b83
2025-08-06T13:51:09+00:00,Tim Cook to join Trump at White House for Apple investment announcement,"The Cook-Trump meeting will mark the rise of Apple's total investment in the U.S. to $600 billion over the next four years, a White House official said.",https://www.cnbc.com/2025/08/06/tim-cook-trump-apple-white-house.html
2025-08-06T13:37:00+00:00,"AMD’s stock is down, but these new estimates have analysts feeling upbeat","While Nvidia dominates in AI GPUs, analysts still see room for AMD to capture a meaningful slice of the market.",https://www.marketwatch.com/story/amds-stock-is-down-but-these-new-estimates-have-analysts-feeling-upbeat-a98ac90a
2025-08-06T13:24:00+00:00,A tech-driven growth boom will trump tariffs and trade wars,"The president’s policies are stagflationary, but they cannot derail America’s dynamic private sector.",https://www.marketwatch.com/story/a-tech-driven-growth-boom-will-trump-tariffs-and-trade-wars-3f3f9e0e
2025-08-06T13:22:01+00:00,"The 10 worst U.S. cities for jobs and earning potential, according to new report",These U.S. cities are grappling with low earnings and weak employment rates.,https://www.cnbc.com/2025/08/06/the-10-worst-us-cities-for-jobs-and-earning-potential-according-to-new-report.html
2025-08-06T13:00:35+00:00,Jim Cramer's top 10 things to watch in the stock market Wednesday,McDonald's and Disney shares went in opposite directions Wednesday morning.,https://www.cnbc.com/2025/08/06/jim-cramers-top-10-things-to-watch-in-the-stock-market-wednesday.html
2025-08-06T12:55:00+00:00,Bank of England on course for slowest ever pace of rate cuts. But without the abuse.,The U.K. is expected to see borrowing cuts cut on Thursday.,https://www.marketwatch.com/story/bank-of-england-on-course-for-slowest-ever-pace-of-rate-cuts-but-without-the-abuse-9e323573
2025-08-06T12:38:00+00:00,"Super Micro has a new outlook, but its stock can’t dodge these old questions","The server maker’s forecast is lower than it was earlier this year, but analysts seem doubtful about the new target as well — and worried about competition.",https://www.marketwatch.com/story/super-micro-has-a-new-outlook-but-its-stock-cant-dodge-these-old-questions-16547394
2025-08-06T12:31:00+00:00,"Uber touts bookings growth and $20 billion buyback, and its stock rises","Uber’s stock looked to rally after quarterly profit and bookings beat expectations, and a $20 billion share-repurchase program was announced.",https://www.marketwatch.com/story/uber-touts-bookings-growth-and-20-billion-buyback-and-stock-rises-61733b47
2025-08-06T12:06:00+00:00,Astera Labs’ stock is rocketing. Why analysts predict even more gains for the AI chip play.,"Astera Labs’ connectivity products are resonating in the AI era, and analysts see potential for big upside next year as a new offering ramps up.",https://www.marketwatch.com/story/astera-labs-stock-is-rocketing-why-analysts-predict-even-more-gains-for-the-ai-chip-play-5b11079c
2025-08-06T12:00:00+00:00,Kids need hands-on money lessons. Why not let them ‘FAFO’?,"Parenting styles — ranging from “F— Around and Find Out” to “gentle parenting” — can have long-term consequences for how children eventually manage money, financial therapists tell MarketWatch. Here’s how they stack up.",https://www.marketwatch.com/story/kids-need-hands-on-money-lessons-why-not-let-them-fafo-089ed5f3
2025-08-06T12:00:00+00:00,"Here’s how I talked my 80-year-old relative out of giving $40,000 to scammers — in the nick of time","He was drawn in by a very sophisticated operation, and it took a lot of logic to convince him it wasn’t real",https://www.marketwatch.com/story/heres-how-i-talked-my-80-year-old-relative-out-of-giving-40-000-to-scammers-in-the-nick-of-time-1fed265d
2025-08-06T11:49:00+00:00,"McDonald’s customers are spending more money per visit, and the stock rises","McDonald’s CEO cited the fast-food leader’s “compelling value, standout marketing and menu innovation.”",https://www.marketwatch.com/story/mcdonalds-stock-rises-as-adjusted-q2-profit-and-revenue-top-analyst-estimates-64b16aa8
2025-08-06T11:08:00+00:00,Walt Disney blows past profit estimates after inking major deals with NFL and WWE,Disney announced earlier that it had reached a deal to sell 10% of ESPN to the NFL in exchange for the NFL’s media properties.,https://www.marketwatch.com/story/walt-disney-blows-past-profit-estimates-after-inking-major-deals-with-nfl-and-wwe-93ed721e
2025-08-06T11:03:00+00:00,‘All historical trends are no longer working.’ This strategist says retail investors are completely baffling Wall Street.,Nationwide strategist Mark Hackett says the battle to control Wall Street is so far veering in favor of retail investors.,https://www.marketwatch.com/story/all-historical-trends-are-no-longer-working-this-strategist-says-retail-investors-are-completely-baffling-wall-street-03b90199
2025-08-06T11:00:00+00:00,U.S. data is a bedrock of the American economy. Now it’s under attack.,Trump’s attack on the federal jobs statistics is the latest blow to essential U.S. infrastructure that has taken a century to build.,https://www.marketwatch.com/story/u-s-data-is-a-bedrock-of-the-american-economy-now-its-under-attack-f0a2f9ae
2025-08-06T10:55:36+00:00,"Uber beats on revenue, announces $20 billion stock buyback","Uber's revenue climbed 18% from a year earlier, topping analysts' estimates.",https://www.cnbc.com/2025/08/06/uber-stock-q2-2025-earnings.html
2025-08-06T10:47:30+00:00,ESPN flagship streaming service to launch August 21,ESPN's all-in-one streaming service with all content from its live TV network will launch on August 21.,https://www.cnbc.com/2025/08/06/espn-streaming-service-launch-date.html
2025-08-06T10:38:24+00:00,"India contributes more to global growth than US, RBI Chief says","India's central bank governor defends country's economic growth against Trump's criticism, citing higher global contribution than US.",https://www.bloomberg.com/news/articles/2025-08-06/india-contributes-more-to-global-growth-than-us-rbi-chief-says
2025-08-06T10:36:00+00:00,Banned Coinbase ad portrays a dystopian Britain — with only crypto as an exit,A controversial ad gets banned from television — for a message that is only implied.,https://www.marketwatch.com/story/banned-coinbase-ad-portrays-a-dystopian-britain-with-only-crypto-as-an-exit-f203ffda
2025-08-06T10:06:00+00:00,"Harvard’s endowment could shrink as much as 40% from White House policies, analysis finds",Harvard University’s endowment could shrink by a dramatic 40% compared to what it would have been due to Trump administration policies.,https://www.marketwatch.com/story/harvards-endowment-could-shrink-as-much-as-40-from-white-house-policies-analysis-finds-d8e597da
2025-08-06T10:00:01+00:00,"ESPN inks five-year deal for WWE's live premium events including WrestleMania, Royal Rumble","ESPN is paying an average of $325 million per year for five years of WWE's premium live events, including WrestleMania, SummerSlam and Royal Rumble.",https://www.cnbc.com/2025/08/06/espn-wwe-five-year-deal-live-events.html
2025-08-06T09:22:00+00:00,‘I feel shaken’: A man offered $50 to powerwash my patio. He would not take ‘no’ for an answer.,"I wasn’t interested. I told him, “No thanks.” That didn’t work.",https://www.marketwatch.com/story/i-feel-shaken-a-man-offered-50-to-powerwash-my-patio-he-would-not-take-no-for-an-answer-9223ce12
2025-08-06T06:27:18+00:00,Air India taps Singapore Air to bolster fleet upkeep after crash,"The Indian airline is preparing to take on pre-flight and daily aircraft inspections, minor repair work and other troubleshooting activities from state-owned AI Engineering Services Ltd",https://www.bloomberg.com/news/articles/2025-08-06/air-india-taps-singapore-air-to-bolster-fleet-upkeep-after-crash
2025-08-06T04:02:08+00:00,India sees IPO surge ahead of key financial disclosure deadline,"Around ten companies, including National Securities Depository Ltd., Aditya Infotech Ltd., Brigade Hotel Ventures Ltd., have collectively raised over 9000 crores ($1.1 billion) between July 25 and August 1,",https://www.bloomberg.com/news/articles/2025-08-06/india-sees-ipo-surge-ahead-of-key-financial-disclosure-deadline
2025-08-05T22:43:00+00:00,Jim Cramer rebuffs Wall Street's 'knee-jerk negativity' after Tuesday's pullback,"CNBC's Jim Cramer on Tuesday pushed back against a downbeat sentiment he's felt on Wall Street, saying ""kneejerk negativity"" is making investors lose money.",https://www.cnbc.com/2025/08/05/jim-cramer-rebuffs-wall-streets-kneejerk-negativity-after-tuesdays-pullback.html
2025-08-05T21:22:00+00:00,India ETF struggles to snap weekly losing streak after Trump’s tariff threat,"An ETF that tracks stocks in India is struggling to rebound from its recent losing streak, after President Trump imposed 25% tariffs on the country — and then threatened even steeper levies.",https://www.marketwatch.com/story/india-etf-struggles-to-snap-weekly-losing-streak-after-trumps-tariff-threat-ebd946e5
2025-08-05T21:20:49+00:00,"Healthy Returns: Medicare, Medicaid will reportedly pilot covering obesity drugs – a potential win for drugmakers",The Trump administration is planning to pilot covering weight loss drugs. A longtime healthcare exec moves to a strategic advisory role at General Catalyst.,https://www.cnbc.com/2025/08/05/healthy-returns-trump-administration-to-pilot-covering-obesity-drugs.html
2025-08-05T21:11:00+00:00,AMD’s stock falls despite strong earnings outlook. Is China the reason?,The chipmaker sets September-quarter guidance above Wall Street’s expectations but doesn’t factor in a restart of China sales,https://www.marketwatch.com/story/amds-stock-falls-despite-strong-earnings-outlook-is-china-the-reason-e502ced7
2025-08-05T20:49:00+00:00,"Stocks are sinking, and these 4 charts suggest a deeper drop might be just getting started","U.S. stocks have stumbled since the start of August, and a number of Wall Street strategists are warning that this might be just a taste of a deeper selloff ahead.",https://www.marketwatch.com/story/stocks-are-sinking-and-these-4-charts-suggest-a-deeper-drop-might-be-just-getting-started-05a5e56a
2025-08-05T20:45:00+00:00,"Rivian expects deeper loss this year, amid ‘significant uncertainty’ over trade and EV policy","Shares of Rivian Automotive Inc. fell after hours on Tuesday after the electric-vehicle maker forecast a bigger loss for this year, amid what it called “significant uncertainty” about the economy and EV-related policy.",https://www.marketwatch.com/story/rivian-expects-deeper-loss-this-year-amid-significant-uncertainty-over-trade-and-ev-policy-157a5aa3
2025-08-05T20:24:00+00:00,"Super Micro backs away from a lofty goal, and its stock is sinking",The server maker is targeting $33 billion in revenue for the fiscal year that just began — below a forecast given back in February,https://www.marketwatch.com/story/super-micro-backs-away-from-a-lofty-goal-and-its-stock-is-sinking-5061eedf
2025-08-05T20:14:14+00:00,Snap shares fall 10% after light second quarter revenue per user,Snap reported second-quarter earnings in which sales were basically in line with analysts' estimates while global average revenue per user missed expectations.,https://www.cnbc.com/2025/08/05/snap-q2-earnings-report-2025.html
2025-08-05T19:42:00+00:00,CEOs are acting like it’s the ‘Great Recession’ — and that’s crushing this stock,"Gartner’s stock was having its worst day since 1999, as a historic drop in CEO confidence led the IT consultant to cut its revenue outlook.",https://www.marketwatch.com/story/ceos-are-acting-like-its-the-great-recession-and-thats-crushing-this-stock-92c1f1f0
2025-08-05T18:38:00+00:00,High tariffs drive China imports down to a 16-year low. But U.S. trade deficits are still as big as ever.,High tariffs on China-made products drove U.S. imports from the world’s second-largest economy to a 16-year low in June — yet the dramatic shift hasn’t put a big dent in America’s overall trade deficit.,https://www.marketwatch.com/story/high-tariffs-drive-china-imports-down-to-a-16-year-low-but-u-s-trade-deficits-are-still-as-big-as-ever-f68b04a7
2025-08-05T18:30:00+00:00,Corona’s parent is looking for more beer drinkers. Why Budweiser could be the buzzkill.,ICE raids have hurt beer demand for Corona’s parent company. Its search for sales elsewhere could hit these obstacles.,https://www.marketwatch.com/story/coronas-parent-is-looking-for-more-beer-drinkers-why-budweiser-could-be-the-buzzkill-c2b72cb0
2025-08-05T17:14:00+00:00,Why your credit-card company might jack up your card’s APR even when the Fed holds rates steady,"The average annual percentage rate on new credit-card offers has increased for four consecutive months, one expert noted.",https://www.marketwatch.com/story/why-your-credit-card-company-might-jack-up-your-cards-apr-even-when-the-fed-holds-rates-steady-6d6e161d
2025-08-05T16:59:00+00:00,NASA reportedly wants to put a nuclear reactor on the moon. This company’s stock is soaring.,"Shares of BWX Technologies hit a record high, as investors believe the nuclear-power company could be involved in NASA’s lunar plans.",https://www.marketwatch.com/story/nasa-reportedly-wants-to-put-a-nuclear-reactor-on-the-moon-this-companys-stock-is-soaring-6a8f1f0e
2025-08-05T16:43:00+00:00,This ‘genius’ hack has cleared my email inbox completely,How I found inner peace by hitting “delete.”,https://www.marketwatch.com/story/this-genius-hack-has-cleared-my-email-inbox-completely-1905532a
2025-08-05T16:39:39+00:00,Official jobs numbers show it's a bad time to be looking for work—unless you're in this field,The few jobs the U.S. economy is creating are concentrated in this sector.,https://www.cnbc.com/2025/08/05/official-jobs-numbers-show-its-a-bad-time-to-be-looking-for-workunless-youre-in-this-field.html
2025-08-05T15:54:00+00:00,Trump threatens drugmakers with 250% tariffs. Here’s when higher levies could come.,The latest level of tariffs on the pharmaceutical industry is the highest yet from the president.,https://www.marketwatch.com/story/trump-threatens-drugmakers-with-250-tariffs-heres-when-higher-levies-could-come-fa1632cc
2025-08-05T15:25:03+00:00,Ex-Google exec: The idea that AI will create new jobs is '100% crap'—even CEOs are at risk of displacement,"Ex-Google exec and AI expert Mo Gawdat says no job is safe from the AI revolution, including CEOs and others in the C-Suite.",https://www.cnbc.com/2025/08/05/ex-google-exec-the-idea-that-ai-will-create-new-jobs-is-100percent-crap.html
2025-08-05T15:14:00+00:00,JPMorgan and Bank of America stocks drop as Trump warns of payback for ‘bad’ treatment,"Big banks said they agree with President Donald Trump that financial regulations need an overhaul, even as their stock prices dropped Tuesday after the president confirmed plans to issue an executive order to punish those that he said discriminate against conservatives.",https://www.marketwatch.com/story/jpmorgan-and-bank-of-america-stocks-drop-as-trump-warns-of-payback-for-bad-treatment-f12100d6
2025-08-05T15:05:43+00:00,We're adding to an industrial-focused stock that should be doing much better after earnings,We don't think the price action in DuPont reflects what we saw in the release and heard on the post-earnings conference call.,https://www.cnbc.com/2025/08/05/were-adding-to-an-industrial-focused-stock-that-should-be-doing-much-better-after-earnings.html
